CodDepto,Departamento,CodMunicipio,Municipio,IDRegimen,Año,Mes,NumPersonas
08,ATLANTICO,08560,PONEDERA,C,2022,4,1560
25,CUNDINAMARCA,25299,GAMA,E,2022,4,33
44,LA GUAJIRA,44420,LA JAGUA DEL PILAR,C,2022,4,99
63,QUINDIO,63272,FILANDIA,C,2022,4,2658
68,SANTANDER,68307,GIRÓN,S,2022,4,68127
15,BOYACA,15764,SORACÁ,C,2022,4,846
08,ATLANTICO,08549,PIOJÓ,S,2022,4,3941
91,AMAZONAS,91263,EL ENCANTO (CD.),C,2022,4,69
44,LA GUAJIRA,44110,EL MOLINO,S,2022,4,6208
27,CHOCO,27361,ISTMINA,E,2022,4,1106
41,HUILA,41349,HOBO,E,2022,4,51
68,SANTANDER,68235,EL CARMEN DE CHUCURÍ,E,2022,4,340
15,BOYACA,15466,MONGUÍ,S,2022,4,2391
44,LA GUAJIRA,44035,ALBANIA,E,2022,4,153
05,ANTIOQUIA,05321,GUATAPÉ,S,2022,4,3378
52,NARINO,52287,FUNES,E,2022,4,45
68,SANTANDER,68720,SANTA HELENA DEL OPÓN,C,2022,4,301
27,CHOCO,27600,RÍO QUITO,C,2022,4,242
05,ANTIOQUIA,05400,LA UNIÓN,C,2022,4,12008
52,NARINO,52473,MOSQUERA,E,2022,4,264
76,VALLE,76113,BUGALAGRANDE,C,2022,4,8906
13,BOLIVAR,13222,CLEMENCIA,S,2022,4,11245
76,VALLE,76246,EL CAIRO,E,2022,4,132
70,SUCRE,70429,MAJAGUAL,C,2022,4,1838
17,CALDAS,17877,VITERBO,C,2022,4,5284
76,VALLE,76001,CALI,S,2022,4,809576
05,ANTIOQUIA,05736,SEGOVIA,E,2022,4,510
54,NORTE DE SANTANDER,54206,CONVENCIÓN,E,2022,4,544
52,NARINO,52256,EL ROSARIO,C,2022,4,259
73,TOLIMA,73067,ATACO,C,2022,4,1065
41,HUILA,41244,ELÍAS,S,2022,4,3270
13,BOLIVAR,13062,ARROYOHONDO,E,2022,4,23
68,SANTANDER,68673,SAN BENITO,E,2022,4,40
44,LA GUAJIRA,44430,MAICAO,C,2022,4,22395
15,BOYACA,15808,TINJACÁ,S,2022,4,1900
54,NORTE DE SANTANDER,54599,RAGONVALIA,C,2022,4,323
68,SANTANDER,68615,RIONEGRO,E,2022,4,328
68,SANTANDER,68324,GUAVATÁ,S,2022,4,2768
25,CUNDINAMARCA,25662,SAN JUAN DE RIOSECO,E,2022,4,194
68,SANTANDER,68020,ALBANIA,C,2022,4,164
15,BOYACA,15690,SANTA MARÍA,E,2022,4,41
25,CUNDINAMARCA,25736,SESQUILÉ,S,2022,4,2858
41,HUILA,41503,OPORAPA,S,2022,4,10582
54,NORTE DE SANTANDER,54810,TIBÚ,S,2022,4,47216
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,S,2022,4,18759
25,CUNDINAMARCA,25281,FOSCA,E,2022,4,73
13,BOLIVAR,13688,SANTA ROSA DEL SUR,C,2022,4,5804
19,CAUCA,19693,SAN SEBASTIÁN,S,2022,4,8063
54,NORTE DE SANTANDER,54673,SAN CAYETANO,E,2022,4,46
15,BOYACA,15835,TURMEQUÉ,E,2022,4,132
27,CHOCO,27025,ALTO BAUDÓ (PIE DE PATO),E,2022,4,201
15,BOYACA,15047,AQUITANIA,C,2022,4,936
25,CUNDINAMARCA,25328,GUAYABAL DE SIQUIMA,E,2022,4,20
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,E,2022,4,709
85,CASANARE,85440,VILLANUEVA,C,2022,4,18515
15,BOYACA,15469,MONIQUIRÁ,S,2022,4,15717
52,NARINO,52203,COLÓN (GÉNOVA),C,2022,4,452
68,SANTANDER,68344,HATO,C,2022,4,196
13,BOLIVAR,13894,ZAMBRANO,S,2022,4,9998
25,CUNDINAMARCA,25214,COTA,C,2022,4,17264
05,ANTIOQUIA,05411,LIBORINA,E,2022,4,204
54,NORTE DE SANTANDER,54003,ABREGO,C,2022,4,1529
05,ANTIOQUIA,05150,CAROLINA,C,2022,4,1239
27,CHOCO,27810,UNIÓN PANAMERICANA,C,2022,4,282
05,ANTIOQUIA,05615,RIONEGRO,C,2022,4,161041
25,CUNDINAMARCA,25286,FUNZA,C,2022,4,77377
19,CAUCA,19100,BOLÍVAR,S,2022,4,34774
15,BOYACA,15469,MONIQUIRÁ,C,2022,4,8366
86,PUTUMAYO,86749,SIBUNDOY,E,2022,4,595
25,CUNDINAMARCA,25878,VIOTÁ,E,2022,4,150
25,CUNDINAMARCA,25524,PANDI,E,2022,4,30
05,ANTIOQUIA,05854,VALDIVIA,E,2022,4,246
25,CUNDINAMARCA,25320,GUADUAS,E,2022,4,565
68,SANTANDER,68152,CARCASÍ,E,2022,4,118
20,CESAR,20175,CHIMICHAGUA,C,2022,4,1988
85,CASANARE,85440,VILLANUEVA,S,2022,4,16800
68,SANTANDER,68344,HATO,S,2022,4,1702
25,CUNDINAMARCA,25867,VIANÍ,E,2022,4,19
25,CUNDINAMARCA,25473,MOSQUERA,E,2022,4,435
25,CUNDINAMARCA,25214,COTA,S,2022,4,5748
23,CORDOBA,23079,BUENAVISTA,E,2022,4,329
27,CHOCO,27600,RÍO QUITO,S,2022,4,6955
25,CUNDINAMARCA,25307,GIRARDOT,E,2022,4,2399
70,SUCRE,70418,LOS PALMITOS,C,2022,4,1280
18,CAQUETA,18205,CURILLO,S,2022,4,8688
68,SANTANDER,68322,GUAPOTÁ,S,2022,4,1279
50,META,50689,SAN MARTÍN,C,2022,4,8295
08,ATLANTICO,08549,PIOJÓ,C,2022,4,457
70,SUCRE,70429,MAJAGUAL,S,2022,4,37127
41,HUILA,41503,OPORAPA,C,2022,4,741
97,VAUPES,97000,VAUPES (TOTAL CD.),S,2022,4,3925
